0-60 (s),1/4 Mile ET (s),Trap Speed (mph),60-130 (s),Lateral G @ 120 mph,100-0 Braking (ft),Lap Time (s),Predicted Lap Time (s),Prediction Error,Absolute Error
5.0,13.6,100.0,20.3,1.14,266.9,105.56700000000001,104.92032,-0.6466813964843823,0.6466813964843823
3.3,11.5,122.0,9.5,1.07,276.3,99.49199999999999,98.855,-0.6369966430663965,0.6369966430663965
4.3,12.6,116.0,11.7,1.1,279.1,99.48400000000001,98.857864,-0.6261356201171964,0.6261356201171964
7.2,15.5,94.0,23.2,0.96,324.2,111.979,112.60317,0.6241723022460945,0.6241723022460945
5.0,13.4,103.0,18.2,1.09,272.6,103.187,102.57284,-0.6141621704101539,0.6141621704101539
3.1,11.2,124.0,8.8,1.2,262.7,95.384,95.99457,0.6105678710937497,0.6105678710937497
6.0,14.4,101.0,17.2,0.78,439.5,112.267,111.665276,-0.6017244262695272,0.6017244262695272
4.0,12.2,115.0,12.4,1.09,293.8,100.116,100.69896,0.5829593505859378,0.5829593505859378
4.8,13.5,103.0,18.1,1.09,274.4,103.595,103.01318,-0.5818164062499989,0.5818164062499989
4.9,13.6,106.0,15.8,1.15,282.6,102.638,102.08798,-0.5500178222656302,0.5500178222656302
5.4,13.7,107.0,15.7,0.98,326.4,106.245,106.79462,0.5496166992187455,0.5496166992187455
3.5,11.5,124.0,8.3,1.25,253.8,95.902,95.39261,-0.509391357421876,0.509391357421876
3.3,10.6,140.0,6.2,1.31,251.0,90.236,90.74337,0.5073700561523395,0.5073700561523395
4.1,12.2,117.0,11.0,1.25,262.7,97.644,97.14454,-0.4994611206054742,0.4994611206054742
